problemName,vehicleFileID,numUAVs,UAVSpeedType,numTrucks,numCustomers,timestamp,ofv,totalTime,numUAVcust,numTruckCust,waitingTruck,waitingUAV
20191230T150126383669,101,3,maximum,-1,25, 2019-12-30 17:37:47,10350.05952,4.654351,8,17,1239.822168,1744.218104
20191230T150126383669,101,4,maximum,-1,25, 2019-12-30 17:37:52,10276.05609,5.920073,10,15,1389.822168,1540.94716
20191230T150126383669,102,1,maximum,-1,25, 2019-12-30 17:37:59,10036.11988,3.323257,4,21,360,859.97172
20191230T150126383669,102,2,maximum,-1,25, 2019-12-30 17:38:03,8510.313832,2.888506,16,9,1833.284593,4454.398761
20191230T150126383669,102,3,maximum,-1,25, 2019-12-30 17:38:07,8048.931724,1.855455,17,8,1713.562282,4169.315837
20191230T150126383669,102,4,maximum,-1,25, 2019-12-30 17:38:10,8076.695637,1.976575,18,7,1650.08923,7091.259951
20191230T150126383669,103,1,maximum,-1,25, 2019-12-30 17:38:13,9874.726088,1.426735,7,18,600,1121.255231
20191230T150126383669,103,2,maximum,-1,25, 2019-12-30 17:38:15,9407.583076,1.76431,12,13,1060.248509,2297.587742
20191230T150126383669,103,3,maximum,-1,25, 2019-12-30 17:38:17,9042.844819,1.568883,13,12,1183.118199,3461.173877
20191230T150126383669,103,4,maximum,-1,25, 2019-12-30 17:38:19,8998.926263,1.599249,13,12,1139.199643,3720.009373
20191230T150126383669,104,1,maximum,-1,25, 2019-12-30 17:38:22,11033.24031,0.527733,1,24,90,36.165463
20191230T150126383669,104,2,maximum,-1,25, 2019-12-30 17:38:23,11033.24031,0.883904,1,24,90,36.165463
20191230T150126383669,104,3,maximum,-1,25, 2019-12-30 17:38:24,11033.24031,1.131574,1,24,90,36.165463
20191230T150126383669,104,4,maximum,-1,25, 2019-12-30 17:38:26,11033.24031,1.339321,1,24,90,36.165463
20191230T150218531563,101,1,maximum,-1,25, 2019-12-30 17:38:27,9822.059243,3.478156,3,22,399.151206,627.807475
20191230T150218531563,101,2,maximum,-1,25, 2019-12-30 17:38:31,9003.49111,4.55296,7,18,673.491899,717.622181
20191230T150218531563,101,3,maximum,-1,25, 2019-12-30 17:38:37,8872.815826,5.732214,7,18,613.498237,897.880393
20191230T150218531563,101,4,maximum,-1,25, 2019-12-30 17:38:43,8738.339767,6.798462,10,15,1233.874088,2181.741261
20191230T150218531563,102,1,maximum,-1,25, 2019-12-30 17:38:50,8515.204616,2.931152,7,18,787.969583,765.12786
20191230T150218531563,102,2,maximum,-1,25, 2019-12-30 17:38:54,7946.755511,2.275377,11,14,930,1737.43433
20191230T150218531563,102,3,maximum,-1,25, 2019-12-30 17:38:57,7763.111812,2.689212,15,10,1290,4329.115651
20191230T150218531563,102,4,maximum,-1,25, 2019-12-30 17:39:00,7744.649936,1.80415,16,9,1320,5852.295271
20191230T150218531563,103,1,maximum,-1,25, 2019-12-30 17:39:03,9389.251097,1.584392,6,19,814.867432,874.942748
20191230T150218531563,103,2,maximum,-1,25, 2019-12-30 17:39:05,9159.294386,2.988323,8,17,902.359724,1564.927209
20191230T150218531563,103,3,maximum,-1,25, 2019-12-30 17:39:09,9125.669194,2.593989,9,16,992.359724,1650.851984
20191230T150218531563,103,4,maximum,-1,25, 2019-12-30 17:39:12,9125.669194,3.316096,9,16,992.359724,1650.851984
20191230T150218531563,104,1,maximum,-1,25, 2019-12-30 17:39:16,10551.20674,0.468659,5,20,499.579783,463.93473
20191230T150218531563,104,2,maximum,-1,25, 2019-12-30 17:39:17,10551.20674,0.759799,5,20,499.579783,463.93473
20191230T150218531563,104,3,maximum,-1,25, 2019-12-30 17:39:18,10551.20674,0.986766,5,20,499.579783,463.93473
20191230T150218531563,104,4,maximum,-1,25, 2019-12-30 17:39:20,10551.20674,1.249681,5,20,499.579783,463.93473
20191230T150311834153,101,1,maximum,-1,25, 2019-12-30 17:39:22,9885.266408,2.813024,4,21,360,734.020817
20191230T150311834153,101,2,maximum,-1,25, 2019-12-30 17:39:25,9904.181028,4.094647,9,16,1646.526019,3704.992226
20191230T150311834153,101,3,maximum,-1,25, 2019-12-30 17:39:30,9630.384069,4.268869,10,15,1664.584016,4040.475738
20191230T150311834153,101,4,maximum,-1,25, 2019-12-30 17:39:35,9615.238161,5.08081,10,15,1679.438108,3498.713198
20191230T150311834153,102,1,maximum,-1,25, 2019-12-30 17:39:40,9349.279651,2.389835,10,15,1392.263865,1618.471345
20191230T150311834153,102,2,maximum,-1,25, 2019-12-30 17:39:44,8099.732939,2.3229,12,13,1390.789299,1860.742318
20191230T150311834153,102,3,maximum,-1,25, 2019-12-30 17:39:47,7669.925971,2.860289,13,12,1765.36416,2649.782019
20191230T150311834153,102,4,maximum,-1,25, 2019-12-30 17:39:50,7669.925971,3.595104,13,12,1765.36416,2649.782019
20191230T150311834153,103,1,maximum,-1,25, 2019-12-30 17:39:55,9779.389021,2.236403,8,17,1093.281933,1254.964323
20191230T150311834153,103,2,maximum,-1,25, 2019-12-30 17:39:57,9856.601245,2.861522,8,17,1195.610765,1912.855277
20191230T150311834153,103,3,maximum,-1,25, 2019-12-30 17:40:01,9923.54413,3.674403,6,19,913.281933,636.505723
20191230T150311834153,103,4,maximum,-1,25, 2019-12-30 17:40:05,9923.54413,3.83953,6,19,913.281933,636.505723
20191230T150311834153,104,1,maximum,-1,25, 2019-12-30 17:40:09,10438.07784,1.189495,5,20,622.390612,504.561113
20191230T150311834153,104,2,maximum,-1,25, 2019-12-30 17:40:11,10435.95424,1.501214,6,19,652.390612,549.160176
20191230T150311834153,104,3,maximum,-1,25, 2019-12-30 17:40:13,10435.95424,1.801112,6,19,652.390612,549.160176
20191230T150311834153,104,4,maximum,-1,25, 2019-12-30 17:40:16,10435.95424,2.01211,6,19,652.390612,549.160176
20191230T150403491108,101,1,maximum,-1,25, 2019-12-30 17:40:18,11904.3309,3.027383,2,23,572.02165,575.789946
20191230T150403491108,101,2,maximum,-1,25, 2019-12-30 17:40:22,10347.61744,2.908473,6,19,1189.895242,768.26096
20191230T150403491108,101,3,maximum,-1,25, 2019-12-30 17:40:25,10293.40063,3.666992,6,19,1008.338511,1951.826725
20191230T150403491108,101,4,maximum,-1,25, 2019-12-30 17:40:30,10293.40063,4.811559,6,19,1008.338511,1951.826725
20191230T150403491108,102,1,maximum,-1,25, 2019-12-30 17:40:35,10308.73921,2.427164,9,16,2132.820483,1736.172403
20191230T150403491108,102,2,maximum,-1,25, 2019-12-30 17:40:38,8097.111503,2.370496,12,13,1574.294295,2669.641675
20191230T150403491108,102,3,maximum,-1,25, 2019-12-30 17:40:41,7476.852129,2.70989,16,9,1811.498233,3120.366013
20191230T150403491108,102,4,maximum,-1,25, 2019-12-30 17:40:45,7538.485946,3.605286,16,9,1873.13205,3519.677526
20191230T150403491108,103,1,maximum,-1,25, 2019-12-30 17:40:49,10595.08321,0.492584,10,15,960.210333,1942.902442
20191230T150403491108,103,2,maximum,-1,25, 2019-12-30 17:40:50,10436.36539,0.870605,11,14,990,2377.369271
20191230T150403491108,103,3,maximum,-1,25, 2019-12-30 17:40:52,10184.95806,1.026984,12,13,1080,2219.299851
20191230T150403491108,103,4,maximum,-1,25, 2019-12-30 17:40:54,10184.95806,1.309387,12,13,1080,2219.299851
20191230T150403491108,104,1,maximum,-1,25, 2019-12-30 17:40:56,12200.29654,0.390532,4,21,360,482.463845
20191230T150403491108,104,2,maximum,-1,25, 2019-12-30 17:40:57,12175.69854,0.600125,5,20,450,764.782718
20191230T150403491108,104,3,maximum,-1,25, 2019-12-30 17:40:58,12175.69854,0.89058,5,20,450,764.782718
20191230T150403491108,104,4,maximum,-1,25, 2019-12-30 17:40:59,12175.69854,1.160018,5,20,450,764.782718
20191230T150455119746,101,1,maximum,-1,25, 2019-12-30 17:41:01,10361.50992,2.809109,2,23,810.333228,64.685853
20191230T150455119746,101,2,maximum,-1,25, 2019-12-30 17:41:04,10120.11317,4.219758,7,18,2412.436846,1318.496513
20191230T150455119746,101,3,maximum,-1,25, 2019-12-30 17:41:09,10215.12469,5.681444,5,20,1686.931322,1144.974013
